Date,Job_Type,Job_Categories,Public_Holiday_Flag,Local_Gas_Price,Monthly_Unemployment_Rate,Income_Total,Jobs_Completed,Job_Duration_Days,Hours_Worked,Expenses_Total,Platform_Count,Target_Income_Next_Day,income_volatility_index,Month,Monthly_Income,Monthly_Expenses,Target_Income_Next_Month
2024-01-01,Freelance,Tech Services,1,74.96,7.8,26798.93,1,14,6,1622.0,1,718300.0,,2024-01,73988.75,90287.67,120100.0
2024-01-02,Freelance,Tech Services,0,74.0,8.0,0.0,0,0,7,1278.25,1,-34600.0,18949.71,2024-01,73988.75,90287.67,120100.0
2024-01-03,Freelance,Tech Services,0,75.17,8.0,0.0,0,0,6,1904.73,1,-53200.0,15472.37,2024-01,73988.75,90287.67,120100.0
2024-01-04,Freelance,Tech Services,0,73.55,8.2,0.0,0,0,6,7139.11,1,-190300.0,13399.46,2024-01,73988.75,90287.67,120100.0
2024-01-05,Freelance,Tech Services,0,74.93,8.0,0.0,0,0,6,4322.31,1,-127300.0,11984.85,2024-01,73988.75,90287.67,120100.0
2024-01-06,Freelance,Tech Services,0,74.48,7.9,0.0,0,0,10,950.91,1,-26100.0,10940.62,2024-01,73988.75,90287.67,120100.0
2024-01-07,Freelance,Tech Services,0,74.47,7.7,0.0,0,0,0,801.92,1,-23200.0,10129.04,2024-01,73988.75,90287.67,120100.0
2024-01-08,Freelance,Tech Services,0,75.96,7.8,0.0,0,0,7,2220.98,1,-64500.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-09,Freelance,Tech Services,0,75.11,8.0,0.0,0,0,10,1097.68,1,-29300.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-10,Freelance,Tech Services,0,75.25,7.8,0.0,0,0,9,1430.47,1,-41700.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-11,Freelance,Tech Services,0,75.18,8.3,0.0,0,0,5,1417.72,1,-39900.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-12,Freelance,Tech Services,0,74.97,7.8,0.0,0,0,5,1929.06,1,-53800.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-13,Freelance,Tech Services,0,75.53,8.0,0.0,0,0,5,10762.74,1,-310000.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-14,Freelance,Tech Services,0,75.59,7.9,0.0,0,0,0,2348.85,1,-62500.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-15,Freelance,Tech Services,0,74.43,8.1,27089.66,1,7,6,3688.89,1,650200.0,10238.93,2024-01,73988.75,90287.67,120100.0
2024-01-16,Freelance,Tech Services,0,74.43,7.9,0.0,0,0,10,1952.61,1,-54000.0,10238.93,2024-01,73988.75,90287.67,120100.0
2024-01-17,Freelance,Tech Services,0,74.62,7.8,0.0,0,0,7,2612.0,1,-74900.0,10238.93,2024-01,73988.75,90287.67,120100.0
2024-01-18,Freelance,Tech Services,0,75.16,7.9,0.0,0,0,8,878.86,1,-26100.0,10238.93,2024-01,73988.75,90287.67,120100.0
2024-01-19,Freelance,Tech Services,0,75.21,8.1,0.0,0,0,5,8815.38,1,-252500.0,10238.93,2024-01,73988.75,90287.67,120100.0
2024-01-20,Freelance,Tech Services,0,75.23,7.8,0.0,0,0,8,1126.1,1,-30400.0,10238.93,2024-01,73988.75,90287.67,120100.0
2024-01-21,Freelance,Tech Services,0,75.48,8.0,0.0,0,0,0,13722.53,1,-404700.0,10238.93,2024-01,73988.75,90287.67,120100.0
2024-01-22,Freelance,Tech Services,0,74.39,7.9,0.0,0,0,5,5967.98,1,-158900.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-23,Freelance,Tech Services,0,75.35,7.7,0.0,0,0,7,1405.92,1,-40700.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-24,Freelance,Tech Services,0,75.69,7.8,0.0,0,0,6,1134.99,1,-32200.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-25,Freelance,Tech Services,0,75.06,7.8,0.0,0,0,10,1055.85,1,-30200.0,0.0,2024-01,73988.75,90287.67,120100.0
