Date,Job_Type,Education_Level,Job_Categories,Public_Holiday_Flag,Local_Gas_Price,Monthly_Unemployment_Rate,Hours_Worked,Platform_Count,Jobs_Completed,Job_Duration_Days,Income_Total,Expenses_Total,Target_Income_Next_Day,income_volatility_index,Month,Monthly_Income,Monthly_Expenses,Target_Income_Next_Month
2024-01-01,Hybrid/Gig-Task,Undergraduate,Delivery,1,75.22,7.6,5.6,2,1,1,504.0,153.0,9900.0,,2024-01,12612.08,23059.15,37000.0
2024-01-02,Hybrid/Gig-Task,Undergraduate,None,0,75.71,7.8,0.0,0,0,0,0.0,520.1,-13800.0,356.38,2024-01,12612.08,23059.15,37000.0
2024-01-03,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.01,7.9,5.8,2,4,1,800.13,521.2,7800.0,404.54,2024-01,12612.08,23059.15,37000.0
2024-01-04,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.12,8.0,5.3,2,5,1,795.2,564.32,6600.0,376.28,2024-01,12612.08,23059.15,37000.0
2024-01-05,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.14,7.7,2.7,3,4,1,800.26,519.4,7800.0,348.37,2024-01,12612.08,23059.15,37000.0
2024-01-06,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.18,7.6,2.4,2,5,1,360.15,572.55,-5900.0,324.26,2024-01,12612.08,23059.15,37000.0
2024-01-07,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.05,7.8,4.4,2,4,1,660.33,580.67,2300.0,299.29,2024-01,12612.08,23059.15,37000.0
2024-01-08,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.9,7.8,2.4,2,5,1,216.12,5195.97,-138700.0,326.79,2024-01,12612.08,23059.15,37000.0
2024-01-09,Hybrid/Gig-Task,Undergraduate,None,0,74.06,7.7,0.0,0,0,0,0.0,2077.18,-60400.0,326.79,2024-01,12612.08,23059.15,37000.0
2024-01-10,Hybrid/Gig-Task,Undergraduate,None,0,75.05,7.8,0.0,0,0,0,0.0,470.81,-13800.0,351.05,2024-01,12612.08,23059.15,37000.0
2024-01-11,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.49,8.1,3.7,3,4,1,333.27,156.3,4700.0,305.9,2024-01,12612.08,23059.15,37000.0
2024-01-12,Hybrid/Gig-Task,Undergraduate,None,0,74.57,8.0,0.0,0,0,0,0.0,1546.26,-43500.0,248.81,2024-01,12612.08,23059.15,37000.0
2024-01-13,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.21,7.7,3.5,2,3,1,315.31,133.31,5100.0,245.28,2024-01,12612.08,23059.15,37000.0
2024-01-14,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.89,7.6,3.0,4,5,1,800.86,474.18,9400.0,289.33,2024-01,12612.08,23059.15,37000.0
2024-01-15,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.46,8.0,3.7,4,2,1,555.64,475.27,2200.0,312.59,2024-01,12612.08,23059.15,37000.0
2024-01-16,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.66,8.1,4.3,4,2,1,800.99,572.64,6600.0,335.99,2024-01,12612.08,23059.15,37000.0
2024-01-17,Hybrid/Gig-Task,Undergraduate,None,0,74.87,7.9,0.0,0,0,0,0.0,558.71,-15000.0,335.99,2024-01,12612.08,23059.15,37000.0
2024-01-18,Hybrid/Gig-Task,Undergraduate,None,0,75.13,7.8,0.0,0,0,0,0.0,558.82,-15900.0,369.14,2024-01,12612.08,23059.15,37000.0
2024-01-19,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.41,8.0,2.6,1,1,1,234.35,138.48,2700.0,341.34,2024-01,12612.08,23059.15,37000.0
2024-01-20,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.13,8.1,2.3,2,3,1,207.32,919.34,-20300.0,347.49,2024-01,12612.08,23059.15,37000.0
2024-01-21,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.17,8.0,4.8,1,2,1,801.32,530.03,7400.0,347.59,2024-01,12612.08,23059.15,37000.0
2024-01-22,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.56,7.6,2.8,2,5,1,801.38,1507.06,-19000.0,380.18,2024-01,12612.08,23059.15,37000.0
2024-01-23,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.79,7.6,5.1,3,4,1,801.45,483.03,8400.0,380.26,2024-01,12612.08,23059.15,37000.0
2024-01-24,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.89,7.7,5.7,3,5,1,513.97,207.91,9100.0,335.69,2024-01,12612.08,23059.15,37000.0
2024-01-25,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.39,8.1,2.9,2,4,1,801.58,588.7,5800.0,276.1,2024-01,12612.08,23059.15,37000.0
2024-01-26,Hybrid/Gig-Task,Undergraduate,None,1,75.7,7.7,0.0,0,0,0,0.0,503.41,-14100.0,334.98,2024-01,12612.08,23059.15,37000.0
2024-01-27,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.9,7.5,5.8,3,5,1,801.71,565.81,6800.0,304.31,2024-01,12612.08,23059.15,37000.0
2024-01-28,Hybrid/Gig-Task,Undergraduate,None,0,74.6,8.0,0.0,0,0,0,0.0,515.66,-14900.0,377.92,2024-01,12612.08,23059.15,37000.0
2024-01-29,Hybrid/Gig-Task,Undergraduate,None,0,75.81,7.6,0.0,0,0,0,0.0,538.89,-15800.0,403.07,2024-01,12612.08,23059.15,37000.0
2024-01-30,Hybrid/Gig-Task,Undergraduate,None,0,74.7,7.8,0.0,0,0,0,0.0,425.36,-12100.0,389.24,2024-01,12612.08,23059.15,37000.0
2024-01-31,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.14,7.6,4.7,2,3,1,706.74,484.78,6300.0,412.8,2024-01,12612.08,23059.15,37000.0
2024-02-01,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.78,7.7,3.0,1,4,1,802.04,538.19,7000.0,412.89,2024-02,13893.18,16894.829999999998,22400.0
2024-02-02,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.58,7.9,3.9,3,2,1,586.54,582.56,100.0,393.82,2024-02,13893.18,16894.829999999998,22400.0
2024-02-03,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.61,7.7,4.0,2,2,1,601.63,550.47,1400.0,367.35,2024-02,13893.18,16894.829999999998,22400.0
2024-02-04,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.57,7.8,5.3,3,2,1,797.22,559.64,6300.0,351.22,2024-02,13893.18,16894.829999999998,22400.0
2024-02-05,Hybrid/Gig-Task,Undergraduate,None,0,75.46,7.7,0.0,0,0,0,0.0,526.52,-14900.0,351.22,2024-02,13893.18,16894.829999999998,22400.0
2024-02-06,Hybrid/Gig-Task,Undergraduate,Delivery,0,76.47,7.9,5.4,3,5,1,487.44,162.12,9500.0,276.03,2024-02,13893.18,16894.829999999998,22400.0
2024-02-07,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.54,7.9,4.0,3,4,1,802.44,447.16,9500.0,286.18,2024-02,13893.18,16894.829999999998,22400.0
2024-02-08,Hybrid/Gig-Task,Undergraduate,None,0,75.54,8.0,0.0,0,0,0,0.0,499.63,-14000.0,339.26,2024-02,13893.18,16894.829999999998,22400.0
2024-02-09,Hybrid/Gig-Task,Undergraduate,None,0,75.91,7.8,0.0,0,0,0,0.0,576.29,-16100.0,375.56,2024-02,13893.18,16894.829999999998,22400.0
2024-02-10,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.97,7.5,4.8,4,3,1,433.42,967.39,-14700.0,364.54,2024-02,13893.18,16894.829999999998,22400.0
2024-02-11,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.2,7.6,2.7,3,2,1,802.7,457.58,9500.0,365.64,2024-02,13893.18,16894.829999999998,22400.0
